,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
102,Cerasu,RO,45.3167,26.0333,80.92,46,0,6.58,clear sky
103,Hurricane,US,37.1753,-113.2899,77.59,15,0,3.44,clear sky
104,Sao Filipe,CV,14.8961,-24.4956,78.39,79,30,5.57,scattered clouds
105,Vung Tau,VN,10.346,107.0843,82.18,78,40,14.47,scattered clouds
106,Coahuayana,MX,18.7333,-103.6833,82.8,72,79,2.33,broken clouds
107,Isangel,VU,-19.55,169.2667,69.08,77,99,8.25,overcast clouds
108,Bulawayo,ZW,-20.15,28.5833,75.96,15,0,10.58,clear sky
109,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,64,40,16.11,scattered clouds
110,Katsuura,JP,35.1333,140.3,82.51,89,100,13.02,moderate rain
111,Dwarka,IN,22.2394,68.9678,82.31,77,92,10.89,overcast clouds
112,Te Anau,NZ,-45.4167,167.7167,36.07,98,100,3.67,overcast clouds
113,Port Lincoln,AU,-34.7333,135.8667,54.3,71,62,8.46,broken clouds
114,Polyarnyy,RU,69.1989,33.4478,73.87,49,10,6.58,clear sky
115,Saint-Augustin,CA,51.226,-58.6502,78.28,56,58,22.75,broken clouds
116,Mount Gambier,AU,-37.8333,140.7667,39.11,100,100,0.0,overcast clouds
117,Vostok,RU,46.4856,135.8833,61.95,99,100,3.2,overcast clouds
118,Iqaluit,CA,63.7506,-68.5145,47.93,81,90,17.27,light rain
119,Barrow,US,71.2906,-156.7887,35.62,82,90,6.91,haze
120,Atocha,BO,-20.9333,-66.2333,50.38,10,9,8.66,clear sky
121,Butaritari,KI,3.0707,172.7902,82.02,72,19,12.3,few clouds
122,Kontagora,NG,10.3999,5.4695,81.52,76,94,4.5,light rain
123,Kaitangata,NZ,-46.2817,169.8464,37.47,91,100,5.91,overcast clouds
124,Gladstone,AU,-23.85,151.25,57.13,82,0,5.75,clear sky
125,Morden,CA,49.1919,-98.1014,74.08,77,100,3.44,overcast clouds
126,Beringovskiy,RU,63.05,179.3167,44.1,89,100,25.84,light rain
127,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,93.88,19,0,15.26,clear sky
128,Cairns,AU,-16.9167,145.7667,67.95,88,75,12.66,broken clouds
129,Tuskegee,US,32.424,-85.6916,84.43,58,1,1.28,clear sky
130,Provideniya,RU,64.3833,-173.3,44.01,86,100,4.34,light rain
131,Chuy,UY,-33.6971,-53.4616,66.9,64,5,7.0,clear sky
132,Inuvik,CA,68.3499,-133.7218,42.01,87,90,4.61,overcast clouds
133,Thompson,CA,55.7435,-97.8558,62.76,72,40,6.91,smoke
134,Kudahuvadhoo,MV,2.6708,72.8944,82.11,77,100,14.36,moderate rain
135,Horqueta,PY,-23.3428,-57.0597,90.14,21,0,11.59,clear sky
136,Huilong,CN,31.8111,121.655,81.99,80,56,9.95,broken clouds
137,Goderich,CA,43.7501,-81.7165,76.03,73,84,8.05,broken clouds
138,Plettenberg Bay,ZA,-34.0527,23.3716,61.11,77,92,6.26,overcast clouds
139,Inhambane,MZ,-23.865,35.3833,72.23,66,0,9.24,clear sky
